index,sw_ticks,qpc_position,device_position,frames,flags
144,2531056676384,2531056899679,78026400,480,0
145,2531056837084,2531056999925,78026880,480,0
146,2531056990561,2531057099166,78027360,480,0
147,2531056990607,2531057199429,78027840,480,0
148,2531057151916,2531057299997,78028320,480,0
149,2531057310194,2531057399090,78028800,480,0
150,2531057310278,2531057499971,78029280,480,0
151,2531057463279,2531057599987,78029760,480,0
152,2531057623608,2531057695469,78030240,480,0
153,2531057623706,2531057795873,78030720,480,0
154,2531057778119,2531057901535,78031200,480,0
155,2531057778589,2531057996809,78031680,480,0
156,2531057929664,2531058101381,78032160,480,0
157,2531058092398,2531058199551,78032640,480,0
158,2531058092454,2531058299557,78033120,480,0
159,2531058252748,2531058400256,78033600,480,0
160,2531058412265,2531058493817,78034080,480,0
161,2531058412321,2531058600878,78034560,480,0
162,2531058569542,2531058696453,78035040,480,0
163,2531058569618,2531058796821,78035520,480,0
164,2531058725445,2531058897684,78036000,480,0
165,2531058882757,2531058998009,78036480,480,0
166,2531058882806,2531059099572,78036960,480,0
167,2531059038998,2531059200915,78037440,480,0
168,2531059198225,2531059296130,78037920,480,0
169,2531059198289,2531059401796,78038400,480,0
170,2531059357380,2531059497094,78038880,480,0
171,2531059505105,2531059597889,78039360,480,0
172,2531059505182,2531059699574,78039840,480,0
173,2531059663470,2531059800389,78040320,480,0
174,2531059823238,2531059895619,78040800,480,0
175,2531059823294,2531060001514,78041280,480,0
176,2531059974984,2531060097225,78041760,480,0
177,2531060135734,2531060203135,78042240,480,0
178,2531060135793,2531060298291,78042720,480,0
179,2531060291893,2531060398839,78043200,480,0
180,2531060291945,2531060499260,78043680,480,0
181,2531060447352,2531060599597,78044160,480,0
182,2531060597293,2531060700035,78044640,480,0
183,2531060597368,2531060800700,78045120,480,0
184,2531060753929,2531060896176,78045600,480,0
185,2531060908766,2531061001599,78046080,480,0
186,2531060908828,2531061096810,78046560,480,0
187,2531061058611,2531061197232,78047040,480,0
188,2531061214492,2531061297439,78047520,480,0
189,2531061214565,2531061398683,78048000,480,0
190,2531061370790,2531061498793,78048480,480,0
191,2531061531962,2531061599296,78048960,480,0
