index,sw_ticks,qpc_position,device_position,frames,flags,phase
132,2586789911672,2586790095026,345545760,480,0,0
133,2586790068688,2586790200277,345546240,480,0,0
134,2586790068719,2586790295629,345546720,480,0,0
135,2586790229890,2586790401227,345547200,480,0,0
136,2586790384069,2586790496890,345547680,480,0,0
137,2586790384136,2586790602142,345548160,480,0,0
138,2586790537767,2586790697344,345548640,480,0,0
139,2586790696174,2586790802722,345549120,480,0,0
140,2586790696220,2586790898445,345549600,480,0,0
141,2586790850845,2586790998598,345550080,480,0,0
142,2586791007336,2586791093807,345550560,480,0,0
143,2586791007385,2586791199365,345551040,480,0,0
144,2586791161445,2586791294489,345551520,480,0,0
145,2586791316359,2586791400019,345552000,480,0,0
146,2586791316389,2586791500822,345552480,480,0,0
147,2586791473632,2586791596049,345552960,480,0,0
148,2586791473667,2586791701356,345553440,480,0,0
149,2586791628247,2586791796838,345553920,480,0,0
150,2586791784476,2586791897287,345554400,480,0,0
151,2586791784508,2586791997752,345554880,480,0,0
152,2586791943568,2586792093162,345555360,480,0,0
153,2586792100670,2586792198285,345555840,480,0,0
154,2586792100722,2586792293583,345556320,480,0,0
155,2586792256581,2586792393973,345556800,480,0,0
156,2586792414212,2586792501234,345557280,480,0,0
157,2586792414266,2586792596769,345557760,480,0,0
158,2586792570541,2586792702227,345558240,480,0,0
159,2586792570593,2586792797478,345558720,480,0,0
160,2586792725375,2586792897793,345559200,480,0,0
161,2586792875288,2586792998568,345559680,480,0,0
162,2586792875325,2586793093901,345560160,480,0,0
163,2586793029309,2586793198996,345560640,480,0,0
164,2586793181606,2586793294233,345561120,480,0,0
165,2586793181675,2586793394427,345561600,480,0,0
166,2586793336544,2586793500091,345562080,480,0,0
167,2586793487030,2586793595422,345562560,480,0,0
168,2586793487080,2586793700574,345563040,480,0,0
169,2586793637702,2586793795916,345563520,480,0,0
170,2586793793127,2586793901840,345564000,480,0,0
171,2586793793164,2586793996627,345564480,480,0,0
172,2586793943868,2586794102003,345564960,480,0,0
173,2586794098020,2586794197580,345565440,480,0,0
