TestID,Group,Encoder,CaptureMethod,RateControl,Preset,CRF,Tune,TargetFPS,TargetKbps,PixFmt,Duration,Status,ExitCode,ActualFPS,ActualKbps,ActualWidth,ActualHeight,FileSizeKB,Command
26,G7_X264_FPS,libx264,gdigrab,crf,medium,23,,60,0,yuv420p,9.1,PASS,0,28.77,653,0,1,639,-hide_banner -loglevel info -f gdigrab -framerate 60 -i desktop -c:v libx264 -preset medium -crf 23 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_026_libx264_gdigrab.mp4
27,G8_X265_Capture,libx265,gdigrab,crf,medium,28,,30,0,yuv420p,9.1,PASS,0,26.64,485,0,1,474,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -crf 28 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_027_libx265_gdigrab.mp4
28,G8_X265_Capture,libx265,ddagrab,crf,medium,28,,60,0,nv12,1,FAIL,-22,,,,,0,-hide_banner -loglevel info -f lavfi -i ddagrab=output_idx=0:framerate=60 -vf hwdownload,format=nv12 -c:v libx265 -preset medium -crf 28 -pix_fmt nv12 -t 8 -movflags +faststart -y CPU_Tests\CPU_028_libx265_ddagrab.mp4
29,G9_X265_CRF,libx265,gdigrab,crf,medium,20,,30,0,yuv420p,9.1,PASS,0,24.92,1080,0,1,1055,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -crf 20 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_029_libx265_gdigrab.mp4
30,G9_X265_CRF,libx265,gdigrab,crf,medium,23,,30,0,yuv420p,9.1,PASS,0,24.40,1600,0,1,1563,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -crf 23 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_030_libx265_gdigrab.mp4
31,G9_X265_CRF,libx265,gdigrab,crf,medium,26,,30,0,yuv420p,9.1,PASS,0,26.88,381,0,1,373,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -crf 26 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_031_libx265_gdigrab.mp4
32,G9_X265_CRF,libx265,gdigrab,crf,medium,28,,30,0,yuv420p,9.1,PASS,0,27.14,282,0,1,276,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -crf 28 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_032_libx265_gdigrab.mp4
33,G9_X265_CRF,libx265,gdigrab,crf,medium,30,,30,0,yuv420p,9.1,PASS,0,25.25,579,0,1,564,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -crf 30 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_033_libx265_gdigrab.mp4
34,G9_X265_CRF,libx265,gdigrab,crf,medium,35,,30,0,yuv420p,9.1,PASS,0,27.76,154,0,1,151,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset medium -crf 35 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_034_libx265_gdigrab.mp4
35,G10_X265_Presets,libx265,gdigrab,crf,ultrafast,28,,30,0,yuv420p,9.1,PASS,0,26.50,559,0,1,546,-hide_banner -loglevel info -f gdigrab -framerate 30 -i desktop -c:v libx265 -preset ultrafast -crf 28 -pix_fmt yuv420p -t 8 -movflags +faststart -y CPU_Tests\CPU_035_libx265_gdigrab.mp4
